

--- Monitor Started at 2026-04-06T13:13:56.200Z ---
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
L:856 R:1641 | vL:0.0 vR:-0.0 | θ:-92.5° LiDAR:OK
